Código,Nome,Nome (Inglês),Nome Científico,Grupo,Marca
C0278F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Meat, beef, hindquarter, with fat , grilled, with tomato sauce (tomato, with oil, onion and garlic), with salt",,Carnes e derivados,
C0279F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal","Meat, beef, hindquarter, with fat , grilled, with tomato sauce (tomato, with oil, onion and garlic), unsalted",,Carnes e derivados,
C0270F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo e cebola, c/ sal","Meat, beef, hindquarter, with fat , grilled, with oil and onion, with salt",,Carnes e derivados,
C0271F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo e cebola, s/ sal","Meat, beef, hindquarter, with fat , grilled, with oil and onion, unsalted",,Carnes e derivados,
C0267F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo, c/ sal","Meat, beef, hindquarter, with fat , grilled, with oil, with salt",,Carnes e derivados,
C0268F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo, s/ sal","Meat, beef, hindquarter, with fat , grilled, with oil, unsalted",,Carnes e derivados,
C0269F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, s/ óleo, c/ sal","Meat, beef, hindquarter, with fat , grilled, without oil, with salt",,Carnes e derivados,
C0020F,"Carne, boi, quarto traseiro, c/ gordura, grelhada, s/ óleo, s/ sal","Meat, beef, hindquarter, with fat , grilled, without oil, unsalted",Bos taurus,Carnes e derivados,
C0050F,"Carne, boi, quarto traseiro, crua (média de diferentes cortes)","Meat, beef, hindquarter, raw (average of several cuts)",Bos taurus,Carnes e derivados,
C0266F,"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Meat, beef, hindquarter, without fat , cooked, with potato and vegetables - carrot, chayote, pod, with tomato sauce (tomato, with oil, onion and garlic), with salt",,Carnes e derivados,
C0264F,"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal","Meat, beef, hindquarter, without fat , cooked, with potato and vegetables - carrot, chayote, pod, with oil, onion and garlic, with salt",,Carnes e derivados,
C0265F,"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal","Meat, beef, hindquarter, without fat , cooked, with potato and vegetables - carrot, chayote, pod, with oil, onion and garlic, unsalted",,Carnes e derivados,
C0263F,"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Meat, beef, hindquarter, without fat , cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt",,Carnes e derivados,
C0261F,"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal","Meat, beef, hindquarter, without fat , cooked, with oil, onion and garlic, with salt",,Carnes e derivados,
C0262F,"Carne, boi, quarto traseiro, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal","Meat, beef, hindquarter, without fat , cooked, with oil, onion and garlic, unsalted",,Carnes e derivados,
C0019F,"Carne, boi, quarto traseiro, s/ gordura, cozida, s/ óleo, s/ sal","Meat, beef, hindquarter, without fat , cooked, without oil, unsalted",Bos taurus,Carnes e derivados,
C0289F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ manteiga, c/ sal","Meat, beef, hindquarter, without fat , grilled, with butter, with salt",,Carnes e derivados,
C0290F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ manteiga, s/ sal","Meat, beef, hindquarter, without fat , grilled, with butter, unsalted",,Carnes e derivados,
C0286F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal","Meat, beef, hindquarter, without fat , grilled, with with sauce (wheat flour, butter and milk), with salt",,Carnes e derivados,
C0285F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal","Meat, beef, hindquarter, without fat , grilled, with with sauce (wheat flour, butter and milk), unsalted",,Carnes e derivados,
C0287F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal","Meat, beef, hindquarter, without fat , grilled, with mustard sauce (cream milk, lemon sauce and mustard), with salt",,Carnes e derivados,
C0288F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal","Meat, beef, hindquarter, without fat , grilled, with mustard sauce (cream milk, lemon sauce and mustard), unsalted",,Carnes e derivados,
C0291F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Meat, beef, hindquarter, without fat , grilled, with tomato sauce (tomato, with oil, onion and garlic), with salt",,Carnes e derivados,
C0283F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo e cebola, c/ sal","Meat, beef, hindquarter, without fat , grilled, with oil and onion, with salt",,Carnes e derivados,
C0284F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo e cebola, s/ sal","Meat, beef, hindquarter, without fat , grilled, with oil and onion, unsalted",,Carnes e derivados,
C0280F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, c/ sal","Meat, beef, hindquarter, without fat , grilled, with oil, with salt",,Carnes e derivados,
C0281F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, s/ sal","Meat, beef, hindquarter, without fat , grilled, with oil, unsalted",,Carnes e derivados,
C0282F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, c/ sal","Meat, beef, hindquarter, without fat , grilled, without oil, with salt",,Carnes e derivados,
C0021F,"Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, s/ sal","Meat, beef, hindquarter, without fat , grilled, without oil, unsalted",Bos taurus,Carnes e derivados,
C0838F,"Carne, boi, rabo, cozido, s/ óleo, c/ sal","Meat, beef, tail, cooked, without oil, with salt",,Carnes e derivados,
C0837F,"Carne, boi, rabo, cozido, s/ óleo, s/ sal","Meat, beef, tail, boiled, without oil, unsalted",,Carnes e derivados,
C0512F,"Carne, boi, rabo, cozido, s/ óleo, s/ sal","Meat, beef, tail, cooked, without oil, unsalted",,Carnes e derivados,
C0081F,"Carne, boi, salgada, crua (média várias amostras: charque, seca, jerked beef)","Meat, beef, dried, salted, raw (average of several samples)",Bos taurus,Carnes e derivados,
C0083F,"Carne, boi, salgada, dessalgada, cozida, s/ óleo (média várias amostras: charque, seca, jerked beef)","Meat, beef, dried, desalted, cooked, without oil (average of several samples)",Bos taurus,Carnes e derivados,
C0082F,"Carne, boi, salgada, dessalgada, crua","Meat, beef, dried, desalted, raw (mean of the several samples)",Bos taurus,Carnes e derivados,
C0085F,"Carne, boi, seca, cozida, s/ óleo","Meat, beef, dried, salted, cooked, without oil",Bos taurus,Carnes e derivados,
C0658F,"Carne, boi, seca, dessalgada, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal","Meat, beef, dried, desalted, with tomato sauce (tomato, with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0656F,"Carne, boi, seca, dessalgada, frita (c/ óleo de soja), s/ sal","Meat, beef, dried, desalted, fried (with soy oil), unsalted",Bos taurus,Carnes e derivados,
C0657F,"Carne, boi, seca, dessalgada, refogada (c/ óleo, cebola e alho), s/ sal","Meat, beef, dried, desalted, braised (with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0310F,"Carne, bovina, acém, s/ gordura, cozida, c/ batata, s/ sal","Meat, beef, chuck, without fat, cooked, with potato, unsalted",,Carnes e derivados,
C0612F,"Carne, bovina, alcatra, refogada (c/ óleo, cebola e alho), c/ sal","Meat, beef, rump/top/bottom sirloin, braised (with oil, onion and garlic), with salt",Bos taurus,Carnes e derivados,
C0611F,"Carne, bovina, alcatra, refogada (c/ óleo, cebola e alho), s/ sal","Meat, beef, rump/top/bottom sirloin, braised (with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0318F,"Carne, bovina, capa de contra-filé, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal","Meat, beef, ribeye cap steak, with fat, grilled, with with sauce (wheat flour, butter and milk), unsalted",,Carnes e derivados,
C0316F,"Carne, bovina, capa de contra-filé, c/ gordura, grelhada, c/ óleo e cebola, c/ sal","Meat, beef, ribeye cap steak, with fat, grilled, with oil and onion, with salt",,Carnes e derivados,
C0317F,"Carne, bovina, capa de contra-filé, c/ gordura, grelhada, c/ óleo e cebola, s/ sal","Meat, beef, ribeye cap steak, with fat, grilled, with oil and onion, unsalted",,Carnes e derivados,
C0987F,"Carne, bovina, charque (carne seca, carne de sol, jaba), c/ óleo de soja, cebola e alho, c/ sal","Meat, beef, jerked, with soy oil, onion and garlic, with salt",,Carnes e derivados,
C0963F,"Carne, bovina, contra-filé de costela, grelhada, c/ óleo de soja, c/ sal","Meat, beef, ribeye striploin, grilled, with soy oil, with salt",Bos taurus,Carnes e derivados,
C0970F,"Carne, bovina, contra-filé de costela, grelhada, s/ óleo, c/ sal","Meat, beef, ribeye striploin, grilled, without oil, with salt",Bos taurus,Carnes e derivados,
C0969F,"Carne, bovina, coxão duro (chã de fora), s/ gordura, cozida, c/ óleo de soja, c/ sal","Meat, beef, flat, round (upper), without fat, cooked, with soy oil, with salt",Bos taurus,Carnes e derivados,
C0968F,"Carne, bovina, coxão duro (chã de fora), s/ gordura, cozida, s/ óleo, c/ sal","Meat, beef, flat, round (upper), without fat, cooked, without oil, with salt",Bos taurus,Carnes e derivados,
C0879F,"Carne, bovina, em conserva","Beef stew, canned",,Carnes e derivados,
C0601F,"Carne, bovina, filé mignon, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal","Meat, beef, tenderloin, without fat, braised (with oil, onion and garlic), with salt",Bos taurus,Carnes e derivados,
C0600F,"Carne, bovina, filé mignon, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal","Meat, beef, tenderloin, without fat, braised (with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0802F,"Carne, bovina, fraldinha, c/ gordura, grelhada/assada, s/ óleo, c/ sal","Meat, beef, thin skirt/flank and bottom sirloin, with fat, grilled/roasted, without oil, with salt",Bos taurus,Carnes e derivados,
C0801F,"Carne, bovina, fraldinha, c/ gordura, grelhada/assada, s/ óleo, s/ sal","Meat, beef, thin skirt/flank and bottom sirloin, with fat, grilled/roasted, without oil, unsalted",Bos taurus,Carnes e derivados,
C0672F,"Carne, bovina, músculo, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal","Meat, beef, shin, without fat, braised (with oil, onion and garlic), with salt",Bos taurus,Carnes e derivados,
C0671F,"Carne, bovina, músculo, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal","Meat, beef, shin, without fat, braised (with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0947F,"Carne, bovina, ossobuco de vitela c/ gordura, cozida, s/ óleo, s/ sal","Meat, beef, veal, ossobuco with fat, boiled, without oil, unsalted",,Carnes e derivados,
C0666F,"Carne, bovina, paleta, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal","Meat, beef, shoulder, without fat, braised (with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0638F,"Carne, bovina, patinho, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal","Meat, beef, knuckle, without fat, braised (with oil, onion and garlic), with salt",Bos taurus,Carnes e derivados,
C0637F,"Carne, bovina, patinho, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal","Meat, beef, knuckle, without fat, braised (with oil, onion and garlic), unsalted",Bos taurus,Carnes e derivados,
C0967F,"Carne, bovina, picanha, c/ gordura, grelhada, c/ óleo, c/ sal","Meat, beef, rump cap, with fat, grilled, with soy oil, with salt",Bos taurus,Carnes e derivados,
C0966F,"Carne, bovina, picanha, c/ gordura, grelhada, s/ óleo, c/ sal","Meat, beef, rump cap, with fat, grilled, without oil, with salt",Bos taurus,Carnes e derivados,
C0965F,"Carne, bovina, picanha, s/ gordura, grelhada, c/ óleo de soja, c/ sal","Meat, beef, rump cap, without fat, grilled, with soy oil, with salt",Bos taurus,Carnes e derivados,
C0964F,"Carne, bovina, picanha, s/ gordura, grelhada, s/ óleo, c/ sal","Meat, beef, rump cap, without fat, grilled, without oil, with salt",Bos taurus,Carnes e derivados,
C0018F,"Carne, bovina, quarto dianteiro, s/ gordura, cozida, s/ óleo, s/ sal","Meat, beef, forequarter, without fat, cooked, without oil, unsalted",Bos taurus,Carnes e derivados,
C0946F,"Carne, bovina, quarto traseiro, s/ gordura, assado, recheado com linguiça calabresa, s/ óleo, c/ sal","Meat, beef, hindquarter, without fat, roasted, stuffed with calabrese sausage, without oil, with salt",,Carnes e derivados,
C0944F,"Carne, bovina, quarto traseiro, s/ gordura, assado, recheado com queijo muçarela, s/ óleo, c/ sal","Meat, beef, hindquarter, without fat, roasted, stuffed with mozzarella cheese, without oil, with salt",,Carnes e derivados,
C0945F,"Carne, bovina, quarto traseiro, s/ gordura, assado, recheado com toucinho defumado (bacon), s/ óleo, c/ sal","Meat, beef, hindquarter, without fat, roasted, stuffed with bacon, without oil, with salt",,Carnes e derivados,
C0856F,"Carne, bovina, rosbife, fatiado","Meet, roast beef, slice",,Carnes e derivados,
C0087F,"Carne, búfalo, alcatra, crua","Meat, buffalo, rump/top/bottom sirloin, raw",Bubalis bubalis Murrah,Carnes e derivados,
C0252F,"Carne, búfalo, coxão mole, crua","Meat, buffalo, top side/round (lower), raw",Bubalis bubalis Murrah,Carnes e derivados,
C0086F,"Carne, búfalo, crua (média de diferentes cortes)","Meat, buffalo, raw (average of several cuts)",Bubalis bubalis Murrah,Carnes e derivados,
C0088F,"Carne, búfalo, lombo, crua","Meat, buffalo, loin, raw",Bubalis bubalis Murrah,Carnes e derivados,
C0798F,"Carne, cabrito, assada, s/ óleo, c/ sal (média de diferentes cortes e raças)","Meat, goat, roasted, without oil, with salt (average of different cuts and breeds)",Capra ssp,Carnes e derivados,
C0797F,"Carne, cabrito, assada, s/ óleo, s/ sal (média de diferentes cortes e raças)","Meat, goat, roasted, without oil, unsalted (average of different cuts and breeds)",Capra ssp,Carnes e derivados,
C0090F,"Carne, cabrito, costela, crua","Meat, goat, ribs, raw",Capra hirbus,Carnes e derivados,
C0850F,"Carne, cabrito, cozida, assada, s/ óleo, c/ sal","Meat, goat, cooked, roasted, wihtout oil, with salt",,Carnes e derivados,
C0583F,"Carne, cabrito, cozida, assada, s/ óleo, s/ sal","Meat, goat, roasted, without oil, unsalted",,Carnes e derivados,
C0586F,"Carne, cabrito, cozida, c/ batata, cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta do reino, c/ sal","Meat, goat, cooked, with potato, carrot, chayote, zucchini, green beans, rosemary, with oil, onion and garlic, with black pepper, with salt",,Carnes e derivados,
C0588F,"Carne, cabrito, cozida, c/ batata, cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta do reino, s/ sal","Meat, goat, cooked, with potato, carrot, chayote, zucchini, green beans, rosemary, with oil, onion and garlic, with black pepper, unsalted",,Carnes e derivados,
C0587F,"Carne, cabrito, cozida, c/ vegetais - cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal","Meat, goat, cooked, with vegetables - carrot, chayote, zucchini, green beans, rosemary, with oil, onion and garlic, with black pepper, with salt",,Carnes e derivados,
C0589F,"Carne, cabrito, cozida, c/ vegetais, cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta do reino, s/ sal","Meat, goat, cooked, with vegetables b carrot, chayote, zucchini, green beans, rosemary, with oil, onion and garlic, with black pepper, unsalted",,Carnes e derivados,
C0796F,"Carne, cabrito, crua (média de diferentes cortes e raças)","Meat, goat, raw (average of different cuts and breeds)",Capra ssp,Carnes e derivados,
C0089F,"Carne, cabrito, crua (média de diferentes cortes)","Meat, goat, raw (average of several cuts)",Capra hirbus,Carnes e derivados,
C0091F,"Carne, cabrito, lombo, crua (média de diferentes amostras)","Meat, goat, loin, raw (average of several samples)",Capra hirbus,Carnes e derivados,
C0092F,"Carne, cabrito, mamão, crua (média de diferentes amostras)","Meat, goat, baby goat, raw (average of several samples)",Capra hirbus,Carnes e derivados,
C0093F,"Carne, cabrito, paleta, crua (média de diferentes amostras)","Meat, goat, shoulder, raw (average of several samples)",Capra hirbus,Carnes e derivados,
C0094F,"Carne, cabrito, perna, crua (média de diferentes amostras)","Meat, goat, leg, raw (average of several samples)",Capra hirbus,Carnes e derivados,
C0096F,"Carne, cabrito, pernil e paleta, crua (média de diferentes amostras)","Meat, goat, leg and shank, raw (average of several samples)",Capra hirbus,Carnes e derivados,
C0095F,"Carne, cabrito, pescoço, crua (média de diferentes amostras)","Meat, goat, neck, raw (average of several samples)",Capra hirbus,Carnes e derivados,
C0865F,"Carne, caça (capivara, coelho), cozida, assada, s/ óleo, c/ sal","Meat, game (capybara, rabbit), cooked, roasted, without oil, with salt",,Carnes e derivados,
C0864F,"Carne, caça (capivara, coelho), cozida, assada, s/ óleo, s/ sal","Meat, game (capybara, rabbit), cooked, roasted, without oil, unsalted",,Carnes e derivados,
C0567F,"Carne, caça (esquilo), crua","Game meat, squirrel, raw",Sciuridae,Carnes e derivados,
C0582F,"Carne, caça, paca, assada","Game meat,",,Carnes e derivados,
C0863F,"Carne, coelho, cozida, s/ óleo, c/ sal","Meat, rabbit, cooked, without oil, with salt",,Carnes e derivados,
C0862F,"Carne, coelho, cozida, s/ óleo, s/ sal","Meat, rabbit, cooked, without oil, unsalted",,Carnes e derivados,
C0097F,"Carne, coelho, selecta, crua (média de diferentes cortes)","Meat, rabbit, raw (average of several cuts)",Lepus cuniculus,Carnes e derivados,
C0571F,"Carne, crocodilo, rabo, crua","Meat, crocodile, tail, raw",Crocodylus spp.,Carnes e derivados,
C0998F,"Carne, frango, à passarinho, frito (c/ óleo de soja), c/ suco de limão, c/ sal","Meat, chicken, in small pieces, fried (with/soybean oil), with lemon juice, with salt",,Carnes e derivados,
C0999F,"Carne, frango, à passarinho, frito (c/ óleo de soja), c/ suco de limão, s/ sal","Meat, chicken, in small pieces, fried (with/soybean oil), with lemon juice, without salt",,Carnes e derivados,
C0746F,"Carne, frango, asa, c/ pele, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal","Meat, chicken, wing, with skin, breaded (egg and breadcrumbs), fried (with soy oil), with salt",Gallus gallus,Carnes e derivados,
C0745F,"Carne, frango, asa, c/ pele, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal","Meat, chicken, wing, with skin, breaded (egg and breadcrumbs), fried (with soy oil), unsalted",Gallus gallus,Carnes e derivados,
C0742F,"Carne, frango, asa, c/ pele, assada, s/ óleo, c/ sal","Meat, chicken, wing, with skin, roasted, without oil, with salt",Gallus gallus,Carnes e derivados,
C0741F,"Carne, frango, asa, c/ pele, assada, s/ óleo, s/ sal","Meat, chicken, wing, with skin, roasted, without oil, unsalted",Gallus gallus,Carnes e derivados,
C0740F,"Carne, frango, asa, c/ pele, cozida (líquido do cozimento excluído), s/ óleo, c/ sal","Meat, chicken, wing, with skin, cooked (cooking liquid excluded), without oil, with salt",Gallus gallus,Carnes e derivados,
C0739F,"Carne, frango, asa, c/ pele, cozida (líquido do cozimento excluído), s/ óleo, s/ sal","Meat, chicken, wing, with skin, cooked (cooking liquid excluded), without oil, unsalted",Gallus gallus,Carnes e derivados,
C0750F,"Carne, frango, asa, c/ pele, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal","Meat, chicken, wing, with skin, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt",Gallus gallus,Carnes e derivados,
C0749F,"Carne, frango, asa, c/ pele, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal","Meat, chicken, wing, with skin, cooked, with tomato sauce (tomato, with oil, onion and garlic), unsalted",Gallus gallus,Carnes e derivados,
C0744F,"Carne, frango, asa, c/ pele, frita (c/ óleo de soja), c/ sal","Meat, chicken, wing, with skin, fried (with soy oil), with salt",Gallus gallus,Carnes e derivados,
C0743F,"Carne, frango, asa, c/ pele, frita (c/ óleo de soja), s/ sal","Meat, chicken, wing, with skin, fried (with soy oil), unsalted",Gallus gallus,Carnes e derivados,
C0748F,"Carne, frango, asa, c/ pele, refogada (c/ óleo, cebola e alho), c/ sal","Meat, chicken, wing, with skin, braised (with oil, onion and garlic), with salt",Gallus gallus,Carnes e derivados,
C0747F,"Carne, frango, asa, c/ pele, refogada (c/ óleo, cebola e alho), s/ sal","Meat, chicken, wing, with skin, braised (with oil, onion and garlic), unsalted",Gallus gallus,Carnes e derivados,
C0498F,"Carne, frango, assada, c/ tucupi, pimenta-de-cheiro, jambu, chicória (coentro bravo), cebola, alho, c/ sal","Meat, chicken, roasted, brazilian sauce ´tucupi´ (with yellow sauce extracted from wild cassava rootwith), brazilian leaves - ´jambu´and ´coentro bravo´, onion and garlic, with salt",,Carnes e derivados,
C0104F,"Carne, frango, caipira, inteiro, c/ pele, cozida, s/ óleo, s/ sal","Meat, chicken, whole, with skin, cooked, without oil, unsalted",Gallus gallus,Carnes e derivados,
C0533F,"Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, c/ sal","Meat, chicken, whole, with skin, cooked, parsley, , with tomato sauce (tomato, with oil, onion and garlic), with black pepper, with salt",,Carnes e derivados,
C0537F,"Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, s/ sal","Meat, chicken, whole, with skin, cooked, parsley, with tomato sauce (tomato, with oil, onion and garlic), with black pepper, unsalted",,Carnes e derivados,
C0532F,"Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal","Meat, chicken, whole, with skin, cooked, parsley, , with oil, onion and garlic, with black pepper, with salt",,Carnes e derivados,
C0536F,"Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal","Meat, chicken, whole, with skin, cooked, parsley, with oil onion and garlic, with black pepper, unsalted",,Carnes e derivados,
C0724F,"Carne, frango, caipira, inteiro, cozida, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal (média de amostras c/ e s/ pele)","Meat, chicken, whole, without skin, cooked, with white sauce (wheat flour, butter and milk), with salt (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0723F,"Carne, frango, caipira, inteiro, cozida, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal (média de amostras c/ e s/ pele)","Meat, chicken, whole, without skin, cooked, with white sauce (wheat flour, butter and milk), unsalted (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0722F,"Carne, frango, caipira, inteiro, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal (média de amostras c/ e s/ pele)","Meat, chicken, whole, without skin, cooked, with tomato sauce (tomato, with oil, onion and garlic), with salt (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0721F,"Carne, frango, caipira, inteiro, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal (média de amostras c/ e s/ pele)","Meat, chicken, whole, without skin, cooked, with tomato sauce (tomato, with oil, onion and garlic), unsalted (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0713F,"Carne, frango, caipira, inteiro, cozida, s/ óleo, c/ sal (média de amostras c/ e s/ pele)","Meat, chicken, whole, cooked, without oil, with salt (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0712F,"Carne, frango, caipira, inteiro, cozida, s/ óleo, s/ sal (média de amostras c/ e s/ pele)","Meat, chicken, whole, cooked, without oil, unsalted (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0711F,"Carne, frango, caipira, inteiro, crua (média de amostras c/ e s/ pele)","Meat, chicken, whole, raw (average of samples with and without skin)",Gallus gallus,Carnes e derivados,
C0876F,"Carne, frango, caipira, inteiro, s/ pele, cozida, s/ óleo, c/ sal","Meat, chicken, whole, without skin, cooked, without oil, with salt",,Carnes e derivados,
C0105F,"Carne, frango, caipira, inteiro, s/ pele, cozida, s/ óleo, s/ sal","Meat, chicken, whole, without skin, cooked, without oil, unsalted",Gallus gallus,Carnes e derivados,
C0535F,"Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, c/ sal","Meat, chicken, whole, without skin, cooked, parsley, with tomato sauce (tomato, with oil, onion and garlic), with black pepper, with salt",,Carnes e derivados,
C0539F,"Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, s/ sal","Meat, chicken, whole, without skin, cooked, parsley, with tomato sauce (tomato, with oil and spice), with black pepper, unsalted",,Carnes e derivados,
C0534F,"Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal","Meat, chicken, whole, without skin, cooked, parsley, with oil, onion and garlic, with black pepper, with salt",,Carnes e derivados,
C0538F,"Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal","Meat, chicken, whole, without skin, cooked, parsley, with oil, onion and garlic, with black pepper, unsalted",,Carnes e derivados,
C0106F,"Carne, frango, coração, assada, brasa, s/ óleo, s/ sal","Meat, chicken, heart, roasted, grill, without oil, unsalted",Gallus gallus,Carnes e derivados,
C0775F,"Carne, frango, coração, cozida (líquido do cozimento excluído), s/ óleo, c/ sal","Meat, chicken, heart, cooked (cooking liquid excluded), without oil, with salt",Gallus gallus,Carnes e derivados,
C0774F,"Carne, frango, coração, cozida (líquido do cozimento excluído), s/ óleo, s/ sal","Meat, chicken, heart, cooked (cooking liquid excluded), without oil, unsalted",Gallus gallus,Carnes e derivados,
C0119F,"Carne, frango, coração, crua","Meat, chicken, heart, raw",Gallus gallus,Carnes e derivados,
C0120F,"Carne, frango, coração, crua","Meat, chicken, heart, raw",Gallus gallus,Carnes e derivados,Seara
C0773F,"Carne, frango, coração, frita (c/ óleo de soja), c/ sal","Meat, chicken, heart, fried (with soy oil), with salt",Gallus gallus,Carnes e derivados,
C0772F,"Carne, frango, coração, frita (c/ óleo de soja), s/ sal","Meat, chicken, heart, fried (with soy oil), unsalted",Gallus gallus,Carnes e derivados,
C0771F,"Carne, frango, coração, grelhada, s/ óleo, c/ sal","Meat, chicken, heart, grilled, without oil, with salt",Gallus gallus,Carnes e derivados,
C0107F,"Carne, frango, coração, grelhado, s/ óleo, s/ sal","Meat, chicken, heart, grilled, without oil, unsalted",Gallus gallus,Carnes e derivados,
C0777F,"Carne, frango, coração, refogada (c/ óleo, cebola e alho), c/ sal","Meat, chicken, heart, braised (with oil, onion and garlic), with salt",Gallus gallus,Carnes e derivados,
C0776F,"Carne, frango, coração, refogada (c/ óleo, cebola e alho), s/ sal","Meat, chicken, heart, braised (with oil, onion and garlic), unsalted",Gallus gallus,Carnes e derivados,
